"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Zusammenarbeit & Teamwork","Henry Ford","""Coming together is a beginning, staying together is progress, and working together is success.""","""Zusammenkommen ist ein Beginn, zusammenbleiben ist ein Fortschritt, zusammenarbeiten ist ein Erfolg.""","Automobil-Pionier","Der ultimative Aufhänger für Werksleiter, Produktionsleiter und Team-Leads in Anlagen."
"Kaizen (Verbesserung)","Taiichi Ohno","""Progress cannot be generated when we are satisfied with existing situations.""","""Fortschritt kann nicht entstehen, wenn wir mit den bestehenden Situationen zufrieden sind.""","Begründer des Toyota Production System","Perfekt für Lean Manager, Continuous Improvement Manager und Operations Engineers."
"Testing & Praxis","Wernher von Braun","""One good test is worth a thousand expert opinions.""","""Ein guter Test ist tausend Expertenmeinungen wert.""","Raumfahrtpionier","Ideal für Quality Assurance (QA) Engineers, Test-Ingenieure und R&D-Abteilungen."
"Effizienz (Lean)","Shigeo Shingo","""There are four purposes of improvement: easier, better, faster, and cheaper. These four goals appear in the order of priority.""","""Es gibt vier Ziele der Verbesserung: einfacher, besser, schneller und billiger. In dieser Reihenfolge.""","Non-Stock Production (TPS)","Stark für Prozessingenieure, Supply Chain Manager und Industrial Engineers."
"Notwendigkeit von Wandel","W. Edwards Deming","""It is not necessary to change. Survival is not mandatory.""","""Es ist nicht zwingend notwendig, sich zu verändern. Überleben ist keine Pflicht.""","Qualitätsmanagement","Hervorragend für Change-Management in alten Industrien und Industrie-4.0-Projekte."
"Qualität durch Schulung","Kaoru Ishikawa","""Quality control starts and ends with training.""","""Qualitätskontrolle beginnt und endet mit Schulung.""","Erfinder des Ishikawa-Diagramms","Für HSE-Manager (Health, Safety, Environment), Six-Sigma-Belts und Ausbilder."
"Wahres Problem erkennen","Sakichi Toyoda","""Before you say you can't do something, try it.""","""Bevor du sagst, du kannst etwas nicht tun, versuche es.""","Toyota-Gründer","Sehr gut für Shop-Floor-Management, Instandhaltung und pragmatische Problemlöser."
"Qualität & Gesellschaft","Genichi Taguchi","""Quality is the loss a product causes to society after being shipped.""","""Qualität ist der Verlust, den ein Produkt der Gesellschaft verursacht, nachdem es ausgeliefert wurde.""","Taguchi Loss Function","Ein tiefer Einstieg für Nachhaltigkeits-Ingenieure und CSR in der Produktion."
"Engpasstheorie","Eliyahu M. Goldratt","""What is needed is just the courage to face inconsistencies and to avoid running away from them...""","""Was wir brauchen, ist nur der Mut, uns Widersprüchen zu stellen und nicht vor ihnen wegzulaufen...""","The Goal (Theory of Constraints)","Für Werksplaner, Disponenten und Operations-Manager (Bottleneck-Beseitigung)."
"Sicherheit (Safety)","Paul O'Neill","""If you want to understand how a company truly operates, look at its safety record.""","""Wenn Sie verstehen wollen, wie ein Unternehmen wirklich arbeitet, schauen Sie sich seine Sicherheitsbilanz an.""","Alcoa CEO","Passend für Anlagenbetreiber, Arbeitssicherheitsexperten und Risk Manager."
"Wissen vs. Annahmen","Taiichi Ohno","""Data is of course important in manufacturing, but I place the greatest emphasis on facts.""","""Daten sind in der Produktion natürlich wichtig, aber den größten Wert lege ich auf Fakten (die Realität).""","Gemba-Walk-Philosophie","Der perfekte Aufhänger für Ingenieure, die 'Gemba' dem Schreibtisch vorziehen."
"Standardisierung","Henry Ford","""Standardization is the necessary foundation on which tomorrow's improvement will be based.""","""Standardisierung ist das notwendige Fundament, auf dem die Verbesserung von morgen ruht.""","Today and Tomorrow (1926)","Für Qualitätsmanager, ISO-Auditoren und SOP-Entwickler."
"Einfachheit des Designs","Antoine de Saint-Exupéry","""Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.""","""Perfektion ist nicht dann erreicht, wenn man nichts mehr hinzufügen, sondern weglassen kann.""","Terre des Hommes","Stark für Maschinenbauingenieure, Konstrukteure und Produktdesigner (CAD)."
"Muda (Verschwendung)","Shigeo Shingo","""The most dangerous kind of waste is the waste we do not recognize.""","""Die gefährlichste Art der Verschwendung ist die, die wir nicht erkennen.""","Lean-Prinzipien","Für Lean Consultants, Wertstromanalysten und KVP-Moderatoren."
"Probleme als Chance","Taiichi Ohno","""Having no problems is the biggest problem of all.""","""Keine Probleme zu haben, ist das größte Problem von allen.""","Toyota Production System","Ideal für Trouble-Shooter, Task-Force-Leiter und Krisenmanager in der Produktion."
