"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Mitarbeiter vor Kunden","Richard Branson","""Clients do not come first. Employees come first. If you take care of your employees...""","""Kunden kommen nicht an erster Stelle. Mitarbeiter kommen an erster Stelle. Kümmern Sie sich um Ihre Mitarbeiter...""","Virgin Group","Der Goldstandard für HR-Business-Partner, CHROs und People-Manager."
"Talententwicklung","Richard Branson","""Train people well enough so they can leave, treat them well enough so they don't want to.""","""Bilde Menschen gut genug aus, damit sie gehen können, behandle sie gut genug, damit sie es nicht wollen.""","Leadership-Maxime","Hervorragend für Learning & Development (L&D) und Personalentwickler."
"Unternehmenskultur","Peter Drucker","""Culture eats strategy for breakfast.""","""Kultur isst Strategie zum Frühstück.""","Management-Theorie","Der perfekte Aufhänger für Change-Management und Culture-Manager."
"Mitarbeiterloyalität","Simon Sinek","""Customers will never love a company until the employees love it first.""","""Kunden werden ein Unternehmen nie lieben, bevor die Mitarbeiter es nicht tun.""","Leaders Eat Last","Ideal für Employer-Branding-Spezialisten und interne Kommunikation."
"Autonomie & Vertrauen","Steve Jobs","""It doesn't make sense to hire smart people and tell them what to do; we hire smart people so they can tell us...""","""Es macht keinen Sinn, kluge Köpfe einzustellen und ihnen dann zu sagen, was sie tun sollen...""","Apple-Philosophie","Stark für Tech-Recruiter, Talent Acquisition Manager und Agile Coaches."
"Menschliche Bindung","Maya Angelou","""I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.""","""Menschen werden vergessen, was du gesagt und getan hast, aber sie werden nie vergessen, welches Gefühl du ihnen gegeben hast.""","Dichterin / Bürgerrechtlerin","Sehr gut für Onboarding-Spezialisten, Feel-Good-Manager und Führungskräfte."
"Wertschätzung","Mary Kay Ash","""Pretend that every person you meet has a sign around his or her neck that says, 'Make me feel important.'""","""Stell dir vor, jeder Mensch, dem du begegnest, trägt ein Schild um den Hals: 'Gib mir das Gefühl, wichtig zu sein.'""","Mary Kay Cosmetics","Ein empathischer Einstieg für HR-Generalisten und Mitarbeiterbetreuer."
"Empowerment","Sheryl Sandberg","""Leadership is about making others better as a result of your presence...""","""Bei Führung geht es darum, andere durch deine Anwesenheit besser zu machen...""","Ex-COO Facebook","Passend für C-Level-Positionen, Teamleads und Mentoring-Programme."
"Menschen & Wachstum","Zig Ziglar","""You don't build a business. You build people, and people build the business.""","""Du baust kein Unternehmen auf. Du baust Menschen auf, und die Menschen bauen das Unternehmen auf.""","Motivationsautor","Ein Klassiker für HR-Direktoren, um den Wert von Personalentwicklung zu betonen."
"Diversität (DEI)","Verna Myers","""Diversity is being invited to the party. Inclusion is being asked to dance.""","""Diversität ist, zur Party eingeladen zu werden. Inklusion ist, zum Tanzen aufgefordert zu werden.""","VP Inclusion Netflix","Der absolute Best-Practice-Satz für Diversity & Inclusion Manager (DEI)."
"Stetiges Lernen","Simon Sinek","""Leadership is not an expertise. Leadership is a constant education.""","""Führung ist keine Expertise. Führung ist eine ständige Weiterbildung.""","Vorträge","Ideal für HR-Entwickler, Führungskräfte-Coaches und Trainer."
"Wahrer Wert von HR","Steve Wynn","""Human resources isn't a thing we do. It's the thing that runs our business.""","""Human Resources ist nicht etwas, das wir tun. Es ist das, was unser Geschäft antreibt.""","Casino-Entwickler","Für strategisches HR, um HR als echten Business-Treiber zu positionieren."
"Einstellung (Hiring)","Herb Kelleher","""You don't hire for skills, you hire for attitude. You can always teach skills.""","""Du stellst nicht nach Fähigkeiten ein, du stellst nach Einstellung ein. Fähigkeiten kann man immer beibringen.""","Southwest Airlines","Der Leitsatz für Recruiter, Active Sourcer und Talent Acquisition."
"Vorbildfunktion","Albert Einstein","""Setting an example is not the main means of influencing others, it is the only means.""","""Ein Vorbild zu sein ist nicht das wichtigste Mittel, um andere zu beeinflussen, es ist das einzige.""","Historisches Zitat","Stark für Führungskräfte, die eine 'Hands-on'-Mentalität beweisen wollen."
"Zuhören","Peter Drucker","""The most important thing in communication is hearing what isn't said.""","""Das Wichtigste an der Kommunikation ist, das zu hören, was nicht gesagt wird.""","Management-Theorie","Für Mediatoren, Konfliktmanager, Betriebsräte und HR-Business-Partner."
"Menschlichkeit am Platz","Brene Brown","""Daring to set boundaries is about having the courage to love ourselves, even when we risk disappointing others.""","""Grenzen zu setzen bedeutet, den Mut zu haben, uns selbst zu lieben...""","Forschung zu Führung","Für Corporate Health, Mental Health Officer und BGM."
"Einfluss vs. Autorität","Ken Blanchard","""The key to successful leadership today is influence, not authority.""","""Der Schlüssel zu erfolgreicher Führung heute ist Einfluss, nicht Autorität.""","Management-Autor","Ideal für laterale Führung, Projektmanager, Scrum Master und Product Owner."
"Business & HR","Howard Schultz","""HR must be a business-driven function with a thorough understanding of the organization’s big picture.""","""HR muss eine vom Geschäft getriebene Funktion sein, mit einem tiefen Verständnis für das große Ganze.""","HR-Strategie Kontext","Für HR-Direktoren, die einen klaren Business-Impact erzielen wollen."
"Feedback-Kultur","Bill Gates","""We all need people who will give us feedback. That's how we improve.""","""Wir alle brauchen Menschen, die uns Feedback geben. Nur so können wir uns verbessern.""","TED Talk","Passend für Performance Manager, HR-Controlling und Feedback-Kultur-Treiber."
"Fokus auf Stärken","Gallup (Clifton)","""Individuals gain more when they build on their talents, than when they make comparable efforts to improve their weaknesses.""","""Menschen gewinnen mehr, wenn sie auf ihren Talenten aufbauen, als wenn sie versuchen, Schwächen zu verbessern.""","StrengthsFinder","Für Personaldiagnostik, Stärken-Coaches und Talent-Management."
