"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Ganzheitliche Behandlung","William Osler","""The good physician treats the disease; the great physician treats the patient who has the disease.""","""Der gute Arzt behandelt die Krankheit; der große Arzt behandelt den Patienten, der die Krankheit hat.""","Aphorismus, Osler gilt als Vater der modernen Medizin","Der absolute Goldstandard für Ärzte, Pflegekräfte und Studenten, um Empathie zu betonen."
"Medizin & Menschlichkeit","Hippokrates","""Wherever the art of Medicine is loved, there is also a love of Humanity.""","""Wo immer die Kunst der Medizin geliebt wird, da ist auch Liebe zur Menschheit.""","Antike Medizin","Ideal für Pflegepersonal, Sozialarbeiter im Krankenhaus und Public-Health-Experten."
"Gerechtigkeit","Paul Farmer","""The idea that some lives matter less is the root of all that is wrong with the world.""","""Die Vorstellung, dass manche Leben weniger wert sind, ist die Wurzel allen Übels in der Welt.""","Mitbegründer Partners In Health","Extrem stark für Public Health, globale Gesundheitsinitiativen (NGOs) und Health Policy."
"Selbstheilungskräfte","Albert Schweitzer","""Each patient carries his own doctor inside him.""","""Jeder Patient trägt seinen eigenen Arzt in sich.""","Philosophie des Urwaldarztes","Passend für Physiotherapeuten, Psychotherapeuten und Reha-Mediziner."
"Sozialmedizin & Politik","Rudolf Virchow","""Medicine is a social science, and politics is nothing else but medicine on a large scale.""","""Die Medizin ist eine soziale Wissenschaft, und die Politik ist nichts weiter als Medizin im Großen.""","Deutscher Arzt und Pathologe","Für Krankenhausmanagement, Epidemiologie, Gesundheitsökonomen und Public Health."
"Pflege & Verantwortung","Florence Nightingale","""I attribute my success to this: I never gave or took any excuse.""","""Ich führe meinen Erfolg darauf zurück: Ich habe nie eine Ausrede vorgebracht oder akzeptiert.""","Begründerin der modernen Pflege","Stark für Pflegedienstleitungen (PDL), Stationsleitungen und Quality Management im Krankenhaus."
"Natur & Prävention","Paracelsus","""The art of healing comes from nature, not from the physician.""","""Die Heilkunst kommt von der Natur, nicht vom Arzt.""","Renaissance-Medizin","Für integrative Medizin, Ernährungsberater, Apotheker und Präventivmediziner."
"Patient als Mensch","Oliver Sacks","""In examining disease, we gain wisdom about anatomy... In examining the person with disease, we gain wisdom about life.""","""Wenn wir eine Krankheit untersuchen, lernen wir über Anatomie... Wenn wir den Menschen mit der Krankheit untersuchen, lernen wir über das Leben.""","The Man Who Mistook His Wife for a Hat","Hervorragend für Neurologen, Psychiater, Palliativmediziner und klinische Forscher."
"Mitgefühl & Schwächen","Arthur Schopenhauer","""The doctor sees all the weakness of mankind.""","""Der Arzt sieht alle Schwächen der Menschheit.""","Aphorismen zur Lebensweisheit","Ein philosophischer Einstieg für Notaufnahmen, Psychiatrie und soziale Brennpunkt-Medizin."
"Sorge & Heilung","Maimonides","""May I never see in the patient anything but a fellow creature in pain.""","""Möge ich im Patienten nie etwas anderes sehen als ein Mitgeschöpf, das leidet.""","Eid des Maimonides","Sehr gut für Ethikkommissionen, Seelsorge und Palliativpflege."
"Zuhören als Diagnose","William Osler","""Listen to your patient, he is telling you the diagnosis.""","""Hören Sie Ihrem Patienten zu, er nennt Ihnen die Diagnose.""","Lehren für Medizinstudenten","Perfekt für Allgemeinmediziner, Hausärzte und medizinische Fachangestellte (MFA)."
"Angst & Aufklärung","Marie Curie","""Now is the time to understand more, so that we may fear less.""","""Jetzt ist die Zeit, mehr zu verstehen, damit wir uns weniger fürchten.""","Zitiert im Kontext med. Forschung","Passend für Radiologie, Onkologie und medizinische Forschung."
"Vorbeugung vs. Heilung","Desiderius Erasmus","""Prevention is better than cure.""","""Vorbeugen ist besser als heilen.""","Medizinisches Sprichwort","Für Arbeitsmediziner, Gesundheitsämter, Impf-Zentren und Health Tech (Wearables)."
"Trost & Begleitung","Ambroise Paré","""To cure sometimes, to relieve often, to comfort always.""","""Manchmal heilen, oft lindern, immer trösten.""","Französischer Chirurg","Der schönste Leitsatz für Hospizarbeit, Pflege und chronische Schmerztherapie."
"Nicht-Schaden-Prinzip","Hippokrates","""Primum non nocere (First, do no harm).""","""Zuerst einmal keinen Schaden zufügen.""","Hippokratische Tradition","Für Chirurgie, Pharmakologie und Patientensicherheit / Risk Management."
"Patient im Mittelpunkt","Donald Berwick","""We are not hosts to patients; we are guests in their lives.""","""Wir sind nicht die Gastgeber der Patienten; wir sind Gäste in ihrem Leben.""","Institute for Healthcare Improvement","Stark für ambulante Pflege, Home Care und patientenzentrierte Gesundheits-Startups."
"Die Wissenschaft","Louis Pasteur","""Let me tell you the secret that has led to my goal. My strength lies solely in my tenacity.""","""Lassen Sie mich Ihnen das Geheimnis verraten, das mich ans Ziel geführt hat. Meine Kraft liegt einzig in meiner Hartnäckigkeit.""","Begründer der Mikrobiologie","Für medizinische Laboratorien, Virologie und Pharmaforschung."
"Geduld & Zeit","Ovid","""Time is generally the best doctor.""","""Die Zeit ist im Allgemeinen der beste Arzt.""","Antike Lebensweisheit","Für Rehabilitation, Ergo- und Logopädie sowie Nachsorgekliniken."
"Hoffnung & Resilienz","Avicenna","""The strength of the heart comes from a sound mind.""","""Die Stärke des Herzens kommt von einem gesunden Geist.""","Persischer Arzt","Ideal für Kardiologie, Psychosomatik und ganzheitliche Therapieansätze."
"Respekt für die Natur","Alexander Fleming","""Penicillin cures, but wine makes people happy.""","""Penicillin heilt, aber Wein macht die Menschen glücklich.""","Entdecker des Penicillins","Ein humorvoller Abschluss für Diätassistenten, Lifestyle-Medizin oder Gastroenterologen."
