"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Verkaufen als Helfen","Zig Ziglar","""You can have everything in life you want, if you will just help enough other people get what they want.""","""Du kannst im Leben alles haben, was du willst, wenn du nur genügend anderen Menschen hilfst, das zu bekommen, was sie wollen.""","Secrets of Closing the Sale","Ideal für B2B-Sales und Key Account Management, um eine extreme Kundenorientierung zu zeigen."
"Empfehlungsmarketing","Philip Kotler","""The best advertising is done by satisfied customers.""","""Die beste Werbung wird von zufriedenen Kunden gemacht.""","Marketing Management (Lehrbuch)","Perfekt für Customer Success Manager oder CRM-Experten, bei denen Retention im Fokus steht."
"Storytelling & Brand","Seth Godin","""People do not buy goods and services. They buy relations, stories and magic.""","""Die Leute kaufen keine Waren und Dienstleistungen. Sie kaufen Beziehungen, Geschichten und Magie.""","Marketing-Blog / Publikationen","Sehr stark für Brand Manager, Content Marketer und Social Media Manager."
"Kundenerlebnis (CX)","Maya Angelou","""People will forget what you said, people will forget what you did, but people will never forget how you made them feel.""","""Menschen werden vergessen, was du gesagt hast, Menschen werden vergessen, was du getan hast, aber Menschen werden nie vergessen, welches Gefühl du ihnen vermittelt hast.""","Interview (oft in CX zitiert)","Hervorragend für Customer Support, Event-Marketing oder Customer Experience (CX) Rollen."
"Kundenzentrierung","David Ogilvy","""Don't find customers for your products, find products for your customers.""","""Finde keine Kunden für deine Produkte, finde Produkte für deine Kunden.""","Ogilvy on Advertising","Für Product Marketing Manager, die auf einen klaren Product-Market-Fit setzen."
"Consultative Selling","Brian Tracy","""Approach each customer with the idea of helping him or her to solve a problem or achieve a goal, not of selling a product or service.""","""Gehe auf jeden Kunden mit der Idee zu, ihm zu helfen, ein Problem zu lösen oder ein Ziel zu erreichen, und nicht, ein Produkt zu verkaufen.""","The Psychology of Selling","Der perfekte Einstieg für Solution Sales, SaaS-Sales und Beratungsvertrieb."
"Service-Kultur","Tony Hsieh","""Customer service shouldn't just be a department, it should be the entire company.""","""Kundenservice sollte nicht nur eine Abteilung sein, es sollte das gesamte Unternehmen sein.""","Delivering Happiness (Zappos)","Stark für Head of Customer Success oder Operations Manager im E-Commerce."
"Kundenfokus","Sam Walton","""There is only one boss. The customer.""","""Es gibt nur einen Chef. Den Kunden.""","Walmart-Gründer Philosophie","Für Retail-Manager, E-Commerce-Leiter oder Sales-Direktoren mit starkem Umsatzfokus."
"Kundenbindung","Walt Disney","""Do what you do so well that they will want to see it again and bring their friends.""","""Mache das, was du tust, so gut, dass sie es wieder sehen wollen und ihre Freunde mitbringen.""","Leitmotiv der Disney-Parks","Ideal für Community Manager, Loyalty-Programm-Manager und Event-Marketing."
"Authentizität","Gary Vaynerchuk","""The best marketing strategy ever: CARE.""","""Die beste Marketingstrategie aller Zeiten: Sich wirklich kümmern (Care).""","Social Media Keynote","Passend für Social Media Management, Community-Aufbau und Inbound-Marketing."
"Nutzenversprechen","Leo Burnett","""What helps people, helps business.""","""Was den Menschen hilft, hilft auch dem Geschäft.""","Werbe-Philosophie","Für klassische Marketing-Rollen, PR und Unternehmenskommunikation."
"Content & Copywriting","Ann Handley","""Make your customer the hero of your stories.""","""Mache deinen Kunden zum Helden deiner Geschichten.""","Everybody Writes","Der beste Aufhänger für Copywriter, SEO-Texter und Content Strategen."
"Kaufpsychologie","Jeffrey Gitomer","""People don't like to be sold, but they love to buy.""","""Menschen mögen es nicht, etwas verkauft zu bekommen, aber sie lieben es einzukaufen.""","The Little Red Book of Selling","Für Inbound-Sales, Account Executives oder Shop-Optimierer (Conversion Rate)."
"Umsatz & Drive","Mark Cuban","""Sales cures all.""","""Verkauf heilt alles.""","Business-Mantra für Startups","Für aggressive Growth-Rollen, Startup-Vertrieb oder VP of Sales."
"Produkt-Markt-Fit","Peter Drucker","""The aim of marketing is to know and understand the customer so well the product or service fits him and sells itself.""","""Das Ziel des Marketings ist es, den Kunden so gut zu kennen, dass das Produkt zu ihm passt und sich von selbst verkauft.""","Management-Aufgaben (1973)","Für strategische Marketing-Leiter oder Product Marketer."
"Feedback als Chance","Bill Gates","""Your most unhappy customers are your greatest source of learning.""","""Deine unzufriedensten Kunden sind deine größte Lernquelle.""","Business @ the Speed of Thought","Perfekt für Beschwerdemanagement oder Quality Assurance im Service."
"Leidenschaft","Estée Lauder","""I have never worked a day in my life without selling. If I believe in something, I sell it, and I sell it hard.""","""Ich habe keinen einzigen Tag gearbeitet, ohne zu verkaufen. Wenn ich an etwas glaube, verkaufe ich es – und zwar mit voller Kraft.""","Autobiografie","Für Business Development Manager, die absolute Identifikation fordern."
"Stimme des Kunden","Dharmesh Shah","""When you're trying to make an important decision, ask yourself: If the customer were here, what would she say?""","""Wenn du eine wichtige Entscheidung triffst, frag dich: Wenn der Kunde hier wäre, was würde er sagen?""","HubSpot Gründer-Philosophie","Stark für Growth Hacker, Inbound Marketer und CRM-Strategen."
"Markenloyalität","Howard Schultz","""If people believe they share values with a company, they will stay loyal to the brand.""","""Wenn Menschen glauben, dass sie die Werte eines Unternehmens teilen, bleiben sie der Marke treu.""","Pour Your Heart Into It","Ideal für Employer Branding, Brand-Management oder PR-Rollen."
"Brand Experience","Jonah Sachs","""Your brand is a story unfolding across all customer touch points.""","""Deine Marke ist eine Geschichte, die sich über alle Berührungspunkte mit dem Kunden entfaltet.""","Winning the Story Wars","Für Omnichannel-Manager, CX-Designer oder Marketing-Direktoren."
