"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Zukunftsgestaltung","Peter Drucker","""The best way to predict the future is to create it.""","""Der beste Weg, die Zukunft vorauszusagen, ist, sie zu gestalten.""","Zentrale Management-Philosophie","Ideal für Strategieberater, die eine proaktive 'Macher'-Mentalität betonen möchten."
"Strategischer Fokus","Michael Porter","""The essence of strategy is choosing what not to do.""","""Die Essenz der Strategie ist es, zu wählen, was man nicht tun sollte.""","HBR Artikel 'What is Strategy?' (1996)","Perfekt für C-Level oder Senior Consultants, um Priorisierungsfähigkeit zu zeigen."
"Effektivität vs. Effizienz","Peter Drucker","""There is nothing so useless as doing efficiently that which should not be done at all.""","""Es gibt nichts Nutzloseres, als etwas effizient zu tun, was gar nicht getan werden sollte.""","Managing for Business Effectiveness (1963)","Stark für Prozessoptimierer, Lean Manager oder Operations Consultants."
"Datenentscheidungen","W. Edwards Deming","""Without data, you're just another person with an opinion.""","""Ohne Daten bist du nur eine weitere Person mit einer Meinung.""","Qualitätsmanagement-Prinzipien","Für Data Consultants, Business Analysten und datengetriebene Strategen."
"Purpose & Vision","Simon Sinek","""People don't buy what you do; they buy why you do it.""","""Die Leute kaufen nicht, was du tust; sie kaufen, warum du es tust.""","TED Talk 'Start With Why' (2009)","Für Brand-Strategen, Change Manager oder Marketing-Berater, die auf Purpose setzen."
"Strategie & Umsetzung","Sun Tzu","""Strategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.""","""Strategie ohne Taktik ist der langsamste Weg zum Sieg. Taktik ohne Strategie ist der Lärm vor der Niederlage.""","Die Kunst des Krieges (Buch)","Ideal für Projektmanager oder PMO, um die Brücke zwischen Planung und operativer Umsetzung zu schlagen."
"Führung vs. Management","Peter Drucker","""Management is doing things right; leadership is doing the right things.""","""Management ist, die Dinge richtig zu tun; Führung ist, die richtigen Dinge zu tun.""","Essential Drucker (Buch)","Sehr gut für angehende Führungskräfte oder Management-Berater, die das große Ganze im Blick haben."
"Wandel (Change)","Jack Welch","""Change before you have to.""","""Verändere dich, bevor du es musst.""","GE CEO Philosophie","Perfekt für Transformations-Berater, Restrukturierungsmanager oder Innovationsberater."
"Exzellenz & Qualität","Jim Collins","""Good is the enemy of great.""","""Das Gute ist der Feind des Großartigen.""","Good to Great (Buch, 2001)","Für Qualitätsmanager oder ambitionierte Strategy Consultants, die auf Top-Performance abzielen."
"Priorisierung","Stephen Covey","""The main thing is to keep the main thing the main thing.""","""Die Hauptsache ist, dass die Hauptsache die Hauptsache bleibt.""","The 7 Habits of Highly Effective People","Stark für Agile Coaches, OKR Master oder Programm-Manager zur Betonung von Fokus."
"Expertenwissen","Steve Jobs","""It doesn't make sense to hire smart people and tell them what to do; we hire smart people so they can tell us what to do.""","""Es macht keinen Sinn, kluge Leute einzustellen und ihnen zu sagen, was sie tun sollen; wir stellen kluge Leute ein, damit sie uns sagen können, was wir tun sollen.""","Apple Leadership Philosophie","Ideal für die Bewerbung als Senior Consultant/Experte, um die eigene beratende Rolle selbstbewusst zu positionieren."
"Risikomanagement","Warren Buffett","""Risk comes from not knowing what you're doing.""","""Risiko entsteht dann, wenn man nicht weiß, was man tut.""","Shareholder Letters / Interviews","Für Risk Consultants, Due Diligence Prüfer oder M&A Berater."
"Führungsverantwortung","Max De Pree","""The first responsibility of a leader is to define reality. The last is to say thank you.""","""Die erste Verantwortung einer Führungskraft ist es, die Realität zu definieren. Die letzte ist es, Danke zu sagen.""","Leadership Is an Art (Buch)","Für Leadership-Positionen oder Kultur-Berater, die ehrliche Bestandsaufnahmen durchführen."
"Team & Zusammenarbeit","Reid Hoffman","""No matter how brilliant your mind or strategy, if you're playing a solo game, you'll always lose out to a team.""","""Ganz gleich, wie brillant deine Strategie ist, wenn du ein Solospiel spielst, wirst du gegen ein Team immer verlieren.""","Startup- und Management-Philosophie","Für Team-Leads oder Berater in stark kollaborativen Matrix-Organisationen."
"Unternehmenskultur","Richard Branson","""Clients do not come first. Employees come first. If you take care of your employees, they will take care of the clients.""","""Kunden stehen nicht an erster Stelle. Die Mitarbeiter stehen an erster Stelle. Kümmern Sie sich um Ihre Mitarbeiter, und diese werden sich um die Kunden kümmern.""","Virgin Group Unternehmensleitbild","Sehr gut für HR-Berater, Change Manager oder Geschäftsführer-Positionen."
"Gewohnheits-Wandel","Henry Ford","""If you always do what you've always done, you'll always get what you've always got.""","""Wenn du immer tust, was du immer getan hast, wirst du immer das bekommen, was du immer bekommen hast.""","Management-Weisheit","Starker Aufhänger für Berater, die Unternehmen aus eingefahrenen Strukturen (Legacy) holen sollen."
"Krisen-Problemlösung","Albert Einstein","""In the middle of difficulty lies opportunity.""","""Inmitten der Schwierigkeit liegt die Gelegenheit.""","Vielfach zitiert zur Problemlösung","Passend für Turnaround-Management, Krisenberatung oder Post-Merger-Integration."
"Strategie als Prozess","Henry Mintzberg","""Strategy is a pattern in a stream of decisions.""","""Strategie ist ein Muster in einem Strom von Entscheidungen.""","The Strategy Concept (1987)","Für analytische Rollen, die betonen wollen, dass Strategie kein starres Dokument, sondern agil ist."
"Nachhaltiger Impact","Sheryl Sandberg","""Leadership is about making others better as a result of your presence and making sure that impact lasts in your absence.""","""Bei Führung geht es darum, andere durch deine Anwesenheit besser zu machen und sicherzustellen, dass diese Wirkung auch in deiner Abwesenheit anhält.""","Lean In","Ideal für Consultants, deren Ziel es ist, Unternehmen zur Selbsthilfe zu befähigen (Knowledge Transfer)."
"Fehlerkultur","Nelson Mandela","""I never lose. I either win or learn.""","""Ich verliere nie. Entweder ich gewinne, oder ich lerne.""","Biografisches Leitmotiv","Sehr gut für agile Berater oder Innovationsmanager, um eine gesunde Fehlerkultur zu propagieren."
