"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Preis vs. Wert","Benjamin Graham","""Price is what you pay. Value is what you get.""","""Preis ist das, was man zahlt. Wert ist das, was man bekommt.""","The Intelligent Investor","Der absolute Klassiker für Value-Investoren, Asset Manager und Einkäufer (Procurement)."
"Anreizsysteme","Charlie Munger","""Show me the incentive and I will show you the outcome.""","""Zeig mir den Anreiz, und ich zeige dir das Ergebnis.""","Poor Charlie's Almanack","Perfekt für Controller, Risk-Manager und HR-Finance-Rollen, bei denen es um Vergütungsstrukturen geht."
"Qualität vor Preis","Warren Buffett","""It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.""","""Es ist weitaus besser, ein wunderbares Unternehmen zu einem fairen Preis zu kaufen, als ein faires Unternehmen zu einem wunderbaren Preis.""","Shareholder Letter (1989)","Ideal für M&A (Mergers & Acquisitions), Private Equity oder strategisches Beteiligungsmanagement."
"Langfristigkeit","Paul Samuelson","""Investing should be more like watching paint dry or watching grass grow. If you want excitement, take $800 and go to Las Vegas.""","""Investieren sollte eher so sein, als würde man Farbe beim Trocknen zusehen. Wenn Sie Spannung wollen, nehmen Sie 800 Dollar und fahren Sie nach Las Vegas.""","Wirtschafts-Nobelpreisträger","Stark für Wealth Manager, Portfolio Manager und Anlageberater, um Besonnenheit zu signalisieren."
"Fokus auf Geschäft","John C. Bogle","""The stock market is a giant distraction to the business of investing.""","""Der Aktienmarkt ist eine riesige Ablenkung vom eigentlichen Geschäft des Investierens.""","Vanguard-Gründer","Für Fund Manager oder Analysten, die sich auf Fundamentaldaten statt auf kurzfristiges Trading konzentrieren."
"Risikotoleranz","Peter Lynch","""In this business, if you're good, you're right six times out of ten. You're never going to be right nine times out of ten.""","""In diesem Geschäft liegt man, wenn man gut ist, sechs von zehn Mal richtig. Man wird nie neun von zehn Mal richtig liegen.""","One Up On Wall Street","Hervorragend für Analysten und Trader, um gesundes Risikomanagement zu belegen."
"Zinseszins","Albert Einstein (zugeschr.)","""Compound interest is the eighth wonder of the world. He who understands it, earns it... he who doesn't... pays it.""","""Der Zinseszins ist das achte Weltwunder. Wer ihn versteht, verdient daran... wer nicht... bezahlt ihn.""","Populäres Finanz-Zitat","Gut für Retail-Banking, Finanzberatung und langfristige Altersvorsorge-Produkte."
"Unabhängiges Denken","Ray Dalio","""To make money in the markets, you have to think independently and be humble.""","""Um an den Märkten Geld zu verdienen, muss man unabhängig denken und bescheiden sein.""","Principles (Buch)","Für Hedgefonds-Manager, Macro-Analysten und Führungskräfte im Investmentbanking."
"Liquidität & Risiko","Warren Buffett","""Only when the tide goes out do you discover who's been swimming naked.""","""Erst wenn die Ebbe kommt, sieht man, wer nackt geschwommen ist.""","Shareholder Letter","Der perfekte Satz für Risk Management, Compliance und Stresstest-Analysten."
"Emotionen im Investment","Benjamin Graham","""The investor's chief problem – and even his worst enemy – is likely to be himself.""","""Das Hauptproblem des Investors – und sogar sein schlimmster Feind – ist wahrscheinlich er selbst.""","The Intelligent Investor","Passend für Behavioral-Finance-Experten, Anlageberater und Robo-Advisor-Produktmanager."
"Budget & Controlling","John C. Maxwell","""A budget is telling your money where to go instead of wondering where it went.""","""Ein Budget sagt Ihrem Geld, wohin es gehen soll, anstatt sich zu wundern, wo es geblieben ist.""","Finanz-/Führungsratgeber","Hervorragend für Financial Controller, FP&A (Financial Planning) und Buchhalter."
"Fokus & Diversifikation","Andrew Carnegie","""The way to become rich is to put all your eggs in one basket and then watch that basket.""","""Der Weg zum Reichtum besteht darin, alle Eier in einen Korb zu legen und diesen Korb dann genau zu beobachten.""","Mark-Twain-Interview","Für VC (Venture Capital), spezialisierte Fondsmanager oder Private Equity."
"Geschäftsmodell verstehen","Peter Lynch","""Never invest in any idea you can't illustrate with a crayon.""","""Investieren Sie niemals in eine Idee, die Sie nicht mit einem Wachsmalstift aufzeichnen können.""","Beating the Street","Ideal für Fundamentalanalysten und Equity Researcher, die komplexe Dinge vereinfachen müssen."
"Volatilität als Chance","Seth Klarman","""Value investing is at its core the marriage of a contrarian streak and a calculator.""","""Value-Investing ist im Kern die Verbindung von einer antizyklischen Ader und einem Taschenrechner.""","Margin of Safety (Buch)","Für Value-Analysten und tief quantitative Research-Rollen (Quant-Funds)."
"Vorbereitung (Treasury)","Thomas Edison","""We should remember that good fortune often happens when opportunity meets with preparation.""","""Wir sollten bedenken, dass Glück oft dann entsteht, wenn Gelegenheit auf Vorbereitung trifft.""","Allgemeines Business-Zitat","Passend für Treasury, Corporate Finance und Liquidity Manager."
"Risiko & Ertrag","Howard Marks","""Rule No. 1: Don't lose money. Rule No. 2: Don't forget Rule No. 1.""","""Regel Nr. 1: Verliere kein Geld. Regel Nr. 2: Vergiss Regel Nr. 1 nicht.""","Oft Buffett zugeschrieben","Stark für Kapitalerhalt-Strategien, Stiftungsmanagement und Pensionskassen."
"Daten & Forecasting","John K. Galbraith","""There are two classes of forecasters: Those who don't know, and those who don't know they don't know.""","""Es gibt zwei Arten von Prognostikern: Die, die nichts wissen, und die, die nicht wissen, dass sie nichts wissen.""","Wirtschaftskritik","Ein humorvoller, aber starker Einstieg für Risk-Modeller, Makro-Ökonomen oder Quants."
"Transparenz & Audit","Charlie Munger","""I think that one should recognize reality even when one doesn't like it.""","""Ich glaube, man sollte die Realität anerkennen, auch wenn sie einem nicht gefällt.""","Berkshire Hathaway Meeting","Sehr gut für Audit (Wirtschaftsprüfung), Interne Revision und Restrukturierungs-CFOs."
"Cashflow-Management","Richard Branson","""Never take your eyes off the cash flow because it's the lifeblood of business.""","""Lassen Sie den Cashflow nie aus den Augen, denn er ist das Lebenselixier des Unternehmens.""","Unternehmer-Ratgeber","Der perfekte Aufhänger für Cash-Manager, CFOs im Mittelstand und Start-up-Finance-Leiter."
"Verständnis des Marktes","George Soros","""Markets are constantly in a state of uncertainty and flux, and money is made by discounting the obvious and betting on the unexpected.""","""Märkte befinden sich ständig in einem Zustand der Unsicherheit und des Wandels, und Geld verdient man, indem man auf das Unerwartete setzt.""","The Alchemy of Finance","Für proprietary Trader, Derivate-Händler und Global-Macro-Strategen."
