"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Das Unbekannte entdecken","Carl Sagan","""Somewhere, something incredible is waiting to be known.""","""Irgendwo wartet etwas Unglaubliches darauf, erkannt zu werden.""","Wissenschaftskommunikation","Der perfekte Eröffnungssatz für Grundlagenforschung, Astronomie, Physik und Entdecker-Rollen."
"Kritisches Denken","Richard Feynman","""Science is the belief in the ignorance of experts.""","""Wissenschaft ist der Glaube an die Unwissenheit der Experten.""","Rede 'What is Science?' (1966)","Ideal für Data Scientists und Peer-Reviewer, um eine gesunde Skepsis zu betonen."
"Wahrheit & Methode","Isaac Asimov","""Science doesn't purvey absolute truth. Science is a mechanism.""","""Wissenschaft liefert keine absolute Wahrheit. Wissenschaft ist ein Mechanismus.""","Interviews / Essays","Stark für methodische Forschung, Laborleiter und Epistemologie."
"Objektivität","Neil deGrasse Tyson","""The good thing about science is that it's true whether or not you believe in it.""","""Das Gute an der Wissenschaft ist, dass sie wahr ist, unabhängig davon, ob man daran glaubt.""","Real Time with Bill Maher","Sehr gut für Data Analysts, Wissenschaftskommunikatoren und Klimaforscher."
"Angst vs. Wissen","Marie Curie","""Nothing in life is to be feared, it is only to be understood. Now is the time to understand more...""","""Man braucht nichts im Leben zu fürchten, man muss nur alles verstehen. Jetzt ist die Zeit, mehr zu verstehen...""","Lebensphilosophie","Hervorragend für Virologie, Medizinische Forschung oder öffentliche Aufklärungsarbeit."
"Datenbasierte Evidenz","W. Edwards Deming","""In God we trust. All others must bring data.""","""Auf Gott vertrauen wir. Alle anderen müssen Daten mitbringen.""","Qualitätsmanagement","Der absolute Klassiker für Data Engineering, Statistik und empirische Sozialforschung."
"Innovation & Phantasie","Freeman Dyson","""A good scientist is a person with original ideas.""","""Ein guter Wissenschaftler ist eine Person mit originellen Ideen.""","Disturbing the Universe","Für R&D-Abteilungen, Postdocs und Innovations-Hubs."
"Zusammenhang der Natur","Ada Lovelace","""Religion to me is science, and science is religion. In that deeply-felt truth lies the secret of my intense devotion...""","""Religion ist für mich Wissenschaft, und Wissenschaft ist Religion. In dieser tief empfundenen Wahrheit liegt das Geheimnis...""","Brief an Andrew Crosse","Für Systembiologie oder akademische Rollen, die ein tiefes, ganzheitliches Verständnis erfordern."
"Wissenschaft als Werkzeug","Carl Sagan","""Science is a way of thinking much more than it is a body of knowledge.""","""Wissenschaft ist viel mehr eine Art zu denken als eine Ansammlung von Wissen.""","Broca's Brain","Für Lehrtätigkeiten, Professuren, Hochschuldidaktik oder Data-Science-Consulting."
"Fehlbarkeit & Fortschritt","Karl Popper","""Science must begin with myths, and with the criticism of myths.""","""Die Wissenschaft muss mit Mythen beginnen und mit der Kritik an Mythen.""","Wissenschaftstheorie","Passend für Theoriebildung, Philosophie der Wissenschaften oder hypothesengetriebene Forschung."
"Neugier & Beobachtung","Isaac Newton","""What we know is a drop, what we don't know is an ocean.""","""Was wir wissen, ist ein Tropfen; was wir nicht wissen, ist ein Ozean.""","Historisches Zitat","Ein demütiger Einstieg für Ozeanographie, Grundlagenforschung und explorative Datenanalyse."
