"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Ungerechtigkeit","Desmond Tutu","""If you are neutral in situations of injustice, you have chosen the side of the oppressor.""","""Wenn du in Situationen der Ungerechtigkeit neutral bleibst, hast du die Seite des Unterdrückers gewählt.""","Anti-Apartheid-Bewegung","Extrem stark für Menschenrechts-NGOs, Advocacy-Arbeit und zivilgesellschaftliche Bündnisse."
"Bildung als Schlüssel","Kofi Annan","""Education is a human right with immense power to transform. On its foundation rest the cornerstones of freedom, democracy...""","""Bildung ist ein Menschenrecht mit enormer Transformationskraft. Auf ihrem Fundament ruhen die Grundpfeiler von Freiheit, Demokratie...""","Aufsatzsammlung zur Menschenrechtsarbeit","Perfekt für Stiftungen im Bildungsbereich, UNICEF, UNESCO oder entwicklungspolitische Projekte."
"Wirksamkeit kl. Gruppen","Margaret Mead","""Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.""","""Zweifle nie daran, dass eine kleine Gruppe engagierter Bürger die Welt verändern kann; tatsächlich ist das die einzige Art, wie es je passiert ist.""","Oft zitiert im Aktivismus","Der ideale Aufhänger für Grassroots-Bewegungen, kleine NGOs und Kampagnen-Manager."
"Friedenssicherung","Willy Brandt","""Peace is not everything, but without peace, everything is nothing.""","""Der Frieden ist nicht alles, aber alles ist ohne den Frieden nichts.""","Rede zum 100. Bestehen des Dietz-Verlages","Für diplomatische Dienste, internationale Friedensmissionen und Konfliktlösungs-NGOs."
"Gesellschaftl. Fortschritt","Franklin D. Roosevelt","""The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little.""","""Der Maßstab unseres Fortschritts ist nicht, ob wir denen, die viel haben, noch mehr geben; es ist, ob wir genug für diejenigen bereitstellen, die zu wenig haben.""","Zweite Inaugurationsrede (1937)","Stark für Sozialbehörden, Ministerien für Soziales und Wohlfahrtsverbände."
"Dienst an der Gesellschaft","Martin Luther King Jr.","""Life's most persistent and urgent question is, 'What are you doing for others?'""","""Die hartnäckigste und dringendste Frage des Lebens lautet: 'Was tust du für andere?'""","Reden zur Bürgerrechtsbewegung","Passend für Public Sector Rollen, Ehrenamtskoordination oder Community-Management."
"Mut & Zuhören","Winston Churchill","""Courage is what it takes to stand up and speak. Courage is also what it takes to sit down and listen.""","""Mut ist das, was man braucht, um aufzustehen und zu sprechen. Mut ist auch das, was man braucht, um sich hinzusetzen und zuzuhören.""","Historische Reden","Für Mediatoren, Pressesprecher im öffentlichen Sektor und diplomatische Repräsentanten."
"Zukunftsverantwortung","Eleanor Roosevelt","""We cannot procrastinate. The world of the future is in our making. Tomorrow is now.""","""Wir dürfen nicht zögern. Die Welt der Zukunft liegt in unserer Hand. Das Morgen ist jetzt.""","Tomorrow is Now (Buch, 1963)","Ideal für Klimaschutz-NGOs, Nachhaltigkeitspolitik und Stadtplanung."
"Zivilcourage","Sophie Scholl","""Stand up for what you believe in even if you are standing alone.""","""Steh zu dem, woran du glaubst, auch wenn du alleine stehst.""","Weiße Rose (Widerstand)","Für Stiftungen im Bereich Demokratieförderung und politische Bildung."
"Gleichberechtigung","Ruth Bader Ginsburg","""Fight for the things that you care about, but do it in a way that will lead others to join you.""","""Kämpfe für die Dinge, die dir wichtig sind, aber tue es auf eine Art und Weise, die andere dazu bringt, sich dir anzuschließen.""","Harvard-Rede (2015)","Hervorragend für Gleichstellungsbeauftragte, Lobby-Arbeit und Policy Advisor."
"Realpolitik","Otto von Bismarck","""Politics is the art of the possible, the attainable — the art of the next best.""","""Die Politik ist die Kunst des Möglichen, des Erreichbaren – die Kunst des Nächstbesten.""","Gespräch mit M. v. Waldeck","Für Referenten in Ministerien, Public Affairs Manager oder parlamentarische Berater."
