"Thema","Person","Zitat (Original/EN)","Zitat (DE)","Kontext / Quelle","Einsatz im Anschreiben (Cover Letter)"
"Ziel von Design (WOW)","Milton Glaser","""There are three responses to a piece of design – yes, no, and WOW! Wow is the one to aim for.""","""Es gibt drei Reaktionen auf ein Design – Ja, Nein und WOW! Wow ist das Ziel, auf das man hinarbeiten sollte.""","Grafikdesigner (I ♥ NY)","Der Goldstandard für Art Direktoren und Webdesigner, um höchste Ansprüche zu demonstrieren."
"Markenbotschafter","Paul Rand","""Design is the silent ambassador of your brand.""","""Design ist der stille Botschafter deiner Marke.""","Corporate Identity Pionier","Perfekt für Brand Manager, Corporate Designer und UX/UI-Designer im Bereich CI."
"Sichtbare Intelligenz","Alina Wheeler","""Design is intelligence made visible.""","""Design ist sichtbar gemachte Intelligenz.""","Designing Brand Identity","Stark für UX-Architekten, Strategische Designer und Design-Thinking-Berater."
"Einfach & Bedeutend","Don Draper","""Make it simple, but significant.""","""Mache es einfach, aber bedeutungsvoll.""","Mad Men (Fiktiv)","Ein cooler, selbstbewusster Aufhänger für Werbetexter, Copywriter und Creative Directors."
"Medium als Botschaft","Marshall McLuhan","""The medium is the message.""","""Das Medium ist die Botschaft.""","Understanding Media (1964)","Ideal für Media Planer, Social Media Strategen und Kommunikationswissenschaftler."
"Neugier & Langeweile","David Carson","""There is no such thing as a boring project. There are only boring executions.""","""Es gibt keine langweiligen Projekte. Es gibt nur langweilige Umsetzungen.""","Typografie-Rebell / Ray Gun","Hervorragend für Designer in B2B-Agenturen oder bei 'trockenen' Themen (Finanzen/Tech)."
"Mut zur Hässlichkeit","Paula Scher","""You have to get bad in order to get good.""","""Man muss erst schlecht sein, um gut zu werden.""","Pentagram Partnerin","Sehr gut für iterative Prozesse (Agile Design) und eine 'Fail-Forward'-Kultur."
"Das Wesentliche","Dieter Rams","""Good design is as little design as possible.""","""Gutes Design ist so wenig Design wie möglich.""","Die 10 Thesen für gutes Design","Der Klassiker für Industrie-Designer, Minimalisten und Apple-inspirierte UI-Entwickler."
"Kreativität (Ressource)","Maya Angelou","""You can't use up creativity. The more you use, the more you have.""","""Man kann Kreativität nicht aufbrauchen. Je mehr man sie nutzt, desto mehr hat man davon.""","Interview","Für Content Creator, Redakteure und Illustratoren, die permanent Output liefern müssen."
"Design & Funktion","Steve Jobs","""Design is not just what it looks like and feels like. Design is how it works.""","""Design ist nicht nur, wie es aussieht und sich anfühlt. Design ist, wie es funktioniert.""","Apple Produktphilosophie","Der perfekte Satz für Interaction Designer, UX-Researcher und Product Designer."
"Regeln brechen","Pablo Picasso","""Learn the rules like a pro, so you can break them like an artist.""","""Lerne die Regeln wie ein Profi, damit du sie wie ein Künstler brechen kannst.""","Allgemein zugeschrieben","Passend für disruptive Kreativagenturen, Guerrilla-Marketing und Avantgarde-Design."
"Wert von Design (ROI)","Ralf Speth","""If you think good design is expensive, you should look at the cost of bad design.""","""Wenn Sie denken, dass gutes Design teuer ist, sollten Sie sich die Kosten von schlechtem Design ansehen.""","Jaguar Land Rover CEO","Stark für Design-Leads und Pitch-Präsentationen, um den ROI von Design zu erklären."
"Aufmerksamkeit & Lärm","David Ogilvy","""You cannot bore people into buying your product; you can only interest them in buying it.""","""Man kann Leute nicht dazu langweilen, ein Produkt zu kaufen; man kann sie nur dafür interessieren.""","Ogilvy on Advertising","Für Werbetexter, PR-Manager und Campaign Manager im digitalen Marketing."
"Klarheit des Denkens","Edward Tufte","""Good design is a lot like clear thinking made visual.""","""Gutes Design ist oft wie klares Denken, das sichtbar gemacht wurde.""","Datenvisualisierungs-Pionier","Ideal für Informationsdesigner, Data-Journalisten und Infografik-Spezialisten."
"Storytelling","Robert McKee","""Storytelling is the most powerful way to put ideas into the world today.""","""Storytelling ist heute der mächtigste Weg, um Ideen in die Welt zu bringen.""","Story (Drehbuch-Bibel)","Für Video-Producer, Drehbuchautoren, Podcaster und PR-Spezialisten."
"Design als Sprache","Massimo Vignelli","""Styles come and go. Good design is a language, not a style.""","""Stile kommen und gehen. Gutes Design ist eine Sprache, kein Stil.""","Vignelli Canon","Für zeitloses Editorial Design, Typografie und Branding-Agenturen."
"Perfektion (Reduktion)","A. de Saint-Exupéry","""A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.""","""Perfektion ist nicht dann erreicht, wenn es nichts mehr hinzuzufügen gibt, sondern wenn man nichts mehr weglassen kann.""","Terre des Hommes","Ein eleganter Abschluss für minimalistische Designer und Architekten."
"Ehrlichkeit im Design","Dieter Rams","""Good design is honest.""","""Gutes Design ist ehrlich.""","Die 10 Thesen für gutes Design","Sehr gut für Nachhaltigkeits-Kommunikation, Green-Marketing und ethisches Design."
"Zweck der Kunst","Milton Glaser","""Solving any problem is more important than being right.""","""Ein Problem zu lösen ist wichtiger, als recht zu haben.""","Interviews","Passend für Design-Sprints, interdisziplinäre Teams und pragmatische UI-Entwickler."
"Visuelles Denken","Saul Bass","""Design is thinking made visual.""","""Design ist sichtbar gemachtes Denken.""","Legendärer Titel-Designer","Für Motion-Designer, Animatoren und visuelle Strategen."
